"CITY","SECTOR_ID","SECTOR_NAME","ENODEBID","ENODEB_NAME","EARFCN","PCI","PSS","SSS","TAC","VENDOR","LONGITUDE","LATITUDE","STYLE","AZIMUTH","HEIGHT","ELECTTILT","MECHTILT","TOTLETILT"
"yiyang","11317-128","F阳上庄F-HLH-1","11317","F阳上庄F-HLH","38400","373","1","124","14400","华为","112.98","33.6814","宏站","10",,,,"0"
"yiyang","11317-129","F阳上庄F-HLH-2","11317","F阳上庄F-HLH","38544","372","0","124","14400","华为","112.98","33.6814","宏站","140",,,,"0"
"yiyang","11317-130","F阳上庄F-HLH-3","11317","F阳上庄F-HLH","38544","374","2","125","14400","华为","112.98","33.6814","宏站","250",,,,"0"
"yiyang","11429-128","G安玉梅F-HLH-1","11429","G安玉梅F-HLH","38400","468","0","156","18740","华为","113.024","33.72","宏站","340",,,,"0"
"yiyang","11429-129","G安玉梅F-HLH-2","11429","G安玉梅F-HLH","38400","470","2","157","18740","华为","113.024","33.72","宏站","130",,,,"0"
"yiyang","11429-130","G安玉梅F-HLH-3","11429","G安玉梅F-HLH","38400","469","1","156","18740","华为","113.024","33.72","宏站","260",,,,"0"
"yiyang","12162-144","F阳盐镇营业厅E-HLW","12162","F阳盐镇营业厅L1E-HLW","39148","69","0","23","14369","华为","113","33.6692","室分","0",,,,"0"
"sanxia","124672-0","A池刘果-HLHF-1","124672","A池刘果-HLHF","38400","32","2","11","14531","华为","112.771","33.8104","宏站","30","43","6","2","8"
"sanxia","124672-1","A池刘果-HLHF-2","124672","A池刘果-HLHF","38400","30","0","10","14531","华为","112.771","33.8104","宏站","150","43","6","2","8"
"sanxia","124672-2","A池刘果-HLHF-3","124672","A池刘果-HLHF","38400","31","1","10","14531","华为","112.771","33.8104","宏站","240","43","6","2","8"
"sanxia","124673-0","A池张沟村-HLHF-1","124673","A池张沟村-HLHF","38400","200","2","67","14531","华为","112.821","33.7785","宏站","40","43","3","0","3"
"sanxia","124673-1","A池张沟村-HLHF-2","124673","A池张沟村-HLHF","38400","198","0","66","14531","华为","112.821","33.7785","宏站","110","43","3","1","4"
"sanxia","124673-2","A池张沟村-HLHF-3","124673","A池张沟村-HLHF","38400","199","1","66","14531","华为","112.821","33.7785","宏站","220","43","3","1","4"
"sanxia","124674-0","A池苏门-HLHF-1","124674","A池苏门-HLHF","38400","327","0","109","14531","华为","112.785","33.8075","宏站","30","43","3","0","3"
"sanxia","124674-1","A池苏门-HLHF-2","124674","A池苏门-HLHF","38400","329","2","110","14531","华为","112.785","33.8075","宏站","180","30","6","3","9"
"sanxia","124674-2","A池苏门-HLHF-3","124674","A池苏门-HLHF","38400","328","1","109","14531","华为","112.785","33.8075","宏站","290","30","6","3","9"
"sanxia","124675-0","A池南涧-HLHF-1","124675","A池南涧-HLHF","38400","94","1","31","14563","华为","112.823","33.681","宏站","60","43","3","2","5"
"sanxia","124675-1","A池南涧-HLHF-2","124675","A池南涧-HLHF","38400","93","0","31","14563","华为","112.823","33.681","宏站","150","30","6","3","9"
"sanxia","124675-2","A池南涧-HLHF-3","124675","A池南涧-HLHF","38400","95","2","32","14563","华为","112.823","33.681","宏站","310","43","3","1","4"
"sanxia","124676-0","A池峪洞-HLHF-1","124676","A池峪洞-HLHF","38400","74","2","25","18833","华为","112.743","33.6943","宏站","0","43","3","0","3"
"sanxia","124676-1","A池峪洞-HLHF-2","124676","A池峪洞-HLHF","38400","72","0","24","18833","华为","112.743","33.6943","宏站","120","43","3","1","4"
"sanxia","124676-2","A池峪洞-HLHF-3","124676","A池峪洞-HLHF","38400","73","1","24","18833","华为","112.743","33.6943","宏站","240","43","3","2","5"
"sanxia","124677-0","A池高岭-HLHF-1","124677","A池高岭-HLHF","38400","400","1","133","14563","华为","112.795","33.7322","宏站","60","30","6","3","9"
"sanxia","124677-1","A池高岭-HLHF-2","124677","A池高岭-HLHF","38400","401","2","134","14563","华为","112.795","33.7322","宏站","150","48","6","2","8"
"sanxia","124677-2","A池高岭-HLHF-3","124677","A池高岭-HLHF","38400","399","0","133","14563","华为","112.795","33.7322","宏站","270","30","6","3","9"
